simulation,generation,rho,p_int
1,0,1,0.5
1,1,0.8844,0.5
1,2,0.8796,0.5
1,3,0.8744,0.5
1,4,0.8764,0.5
1,5,0.8684,0.5
1,6,0.8728,0.5
1,7,0.87,0.5
1,8,0.8724,0.5
1,9,0.8652,0.5
1,10,0.8752,0.5
1,11,0.876,0.5
1,12,0.8728,0.5
1,13,0.8764,0.5
1,14,0.8808,0.5
1,15,0.8708,0.5
1,16,0.8608,0.5
1,17,0.8668,0.5
1,18,0.8788,0.5
1,19,0.8756,0.5
1,20,0.8712,0.5
1,21,0.876,0.5
1,22,0.8728,0.5
1,23,0.8728,0.5
1,24,0.8736,0.5
1,25,0.8764,0.5
1,26,0.8664,0.5
1,27,0.8644,0.5
1,28,0.8728,0.5
1,29,0.8736,0.5
1,30,0.874,0.5
1,31,0.8668,0.5
1,32,0.8736,0.5
1,33,0.874,0.5
1,34,0.8716,0.5
1,35,0.8588,0.5
1,36,0.8632,0.5
1,37,0.8776,0.5
1,38,0.876,0.5
1,39,0.878,0.5
1,40,0.878,0.5
1,41,0.8788,0.5
1,42,0.87,0.5
1,43,0.8752,0.5
1,44,0.872,0.5
1,45,0.8668,0.5
1,46,0.8764,0.5
1,47,0.87,0.5
1,48,0.8768,0.5
1,49,0.8776,0.5
1,50,0.8768,0.5
1,51,0.8688,0.5
1,52,0.88,0.5
1,53,0.8648,0.5
1,54,0.8768,0.5
1,55,0.8776,0.5
1,56,0.8608,0.5
1,57,0.8728,0.5
1,58,0.8644,0.5
1,59,0.862,0.5
1,60,0.874,0.5
1,61,0.892,0.5
1,62,0.8816,0.5
1,63,0.8636,0.5
1,64,0.8768,0.5
1,65,0.8772,0.5
1,66,0.864,0.5
1,67,0.8688,0.5
1,68,0.8756,0.5
1,69,0.872,0.5
1,70,0.88,0.5
1,71,0.8744,0.5
1,72,0.8796,0.5
1,73,0.8708,0.5
1,74,0.876,0.5
1,75,0.8744,0.5
1,76,0.8748,0.5
1,77,0.8752,0.5
1,78,0.868,0.5
1,79,0.8884,0.5
1,80,0.8836,0.5
1,81,0.8808,0.5
1,82,0.8596,0.5
1,83,0.8608,0.5
1,84,0.8748,0.5
1,85,0.8684,0.5
1,86,0.8748,0.5
1,87,0.8684,0.5
1,88,0.8692,0.5
1,89,0.87,0.5
1,90,0.8736,0.5
1,91,0.8636,0.5
1,92,0.878,0.5
1,93,0.8764,0.5
1,94,0.8868,0.5
1,95,0.8688,0.5
1,96,0.878,0.5
1,97,0.872,0.5
1,98,0.8788,0.5
1,99,0.8764,0.5
1,100,0.8684,0.5
2,0,1,0.9
2,1,0.9796,0.9
2,2,0.9708,0.9
2,3,0.9792,0.9
2,4,0.9704,0.9
2,5,0.978,0.9
2,6,0.9744,0.9
2,7,0.9776,0.9
2,8,0.9796,0.9
2,9,0.9812,0.9
2,10,0.9776,0.9
2,11,0.9772,0.9
2,12,0.9804,0.9
2,13,0.9796,0.9
2,14,0.9824,0.9
2,15,0.976,0.9
2,16,0.9804,0.9
2,17,0.982,0.9
2,18,0.9812,0.9
2,19,0.9812,0.9
2,20,0.9844,0.9
2,21,0.9752,0.9
2,22,0.9792,0.9
2,23,0.9736,0.9
2,24,0.974,0.9
2,25,0.9772,0.9
2,26,0.9796,0.9
2,27,0.976,0.9
2,28,0.9804,0.9
2,29,0.9792,0.9
2,30,0.9768,0.9
2,31,0.9812,0.9
2,32,0.98,0.9
2,33,0.9768,0.9
2,34,0.978,0.9
2,35,0.9764,0.9
2,36,0.982,0.9
2,37,0.9772,0.9
2,38,0.9792,0.9
2,39,0.9792,0.9
2,40,0.9776,0.9
2,41,0.9788,0.9
2,42,0.9776,0.9
2,43,0.9796,0.9
2,44,0.9772,0.9
2,45,0.9764,0.9
2,46,0.9788,0.9
2,47,0.9692,0.9
2,48,0.9776,0.9
2,49,0.9768,0.9
2,50,0.972,0.9
2,51,0.9748,0.9
2,52,0.9744,0.9
2,53,0.9796,0.9
2,54,0.9768,0.9
2,55,0.9772,0.9
2,56,0.9816,0.9
2,57,0.9748,0.9
2,58,0.9784,0.9
2,59,0.9796,0.9
2,60,0.9772,0.9
2,61,0.978,0.9
2,62,0.98,0.9
2,63,0.9772,0.9
2,64,0.976,0.9
2,65,0.984,0.9
2,66,0.9768,0.9
2,67,0.9784,0.9
2,68,0.9756,0.9
2,69,0.9792,0.9
2,70,0.974,0.9
2,71,0.9764,0.9
2,72,0.9796,0.9
2,73,0.978,0.9
2,74,0.976,0.9
2,75,0.9768,0.9
2,76,0.9768,0.9
2,77,0.976,0.9
2,78,0.9756,0.9
2,79,0.98,0.9
2,80,0.9772,0.9
2,81,0.9752,0.9
2,82,0.9804,0.9
2,83,0.9832,0.9
2,84,0.9768,0.9
2,85,0.9768,0.9
2,86,0.974,0.9
2,87,0.9768,0.9
2,88,0.978,0.9
2,89,0.9764,0.9
2,90,0.9792,0.9
2,91,0.9772,0.9
2,92,0.9788,0.9
2,93,0.9776,0.9
2,94,0.9784,0.9
2,95,0.9784,0.9
2,96,0.9804,0.9
2,97,0.9796,0.9
2,98,0.9788,0.9
2,99,0.9772,0.9
2,100,0.9808,0.9
