delta,sigma/pext,rho,alpha
0,0,0.25447843137254905,0.0
0,0,0.3003764705882353,0.1111111111111111
0,0,0.3183843137254902,0.2222222222222222
0,0,0.34007843137254906,0.3333333333333333
0,0,0.35372549019607835,0.4444444444444444
0,0,0.3597882352941177,0.5555555555555556
0,0,0.356956862745098,0.6666666666666666
0,0,0.36714509803921574,0.7777777777777777
0,0,0.36837647058823536,0.8888888888888888
0,0,0.3742039215686274,1.0
0,0.5,0.2664549019607843,0.0
0,0.5,0.3076941176470588,0.1111111111111111
0,0.5,0.32061960784313726,0.2222222222222222
0,0.5,0.3294980392156864,0.3333333333333333
0,0.5,0.35090196078431374,0.4444444444444444
0,0.5,0.36371764705882353,0.5555555555555556
0,0.5,0.36843921568627447,0.6666666666666666
0,0.5,0.3654274509803922,0.7777777777777777
0,0.5,0.3754980392156863,0.8888888888888888
0,0.5,0.37429803921568633,1.0
0,1,0.24758431372549022,0.0
0,1,0.31277647058823527,0.1111111111111111
0,1,0.3251921568627451,0.2222222222222222
0,1,0.3360470588235295,0.3333333333333333
0,1,0.34938039215686284,0.4444444444444444
0,1,0.3608078431372549,0.5555555555555556
0,1,0.3562980392156862,0.6666666666666666
0,1,0.36737254901960786,0.7777777777777777
0,1,0.36858823529411766,0.8888888888888888
0,1,0.37755294117647054,1.0
0.025,0,0.0,0.0
0.025,0,0.0,0.1111111111111111
0.025,0,0.09565490196078433,0.2222222222222222
0.025,0,0.19872941176470593,0.3333333333333333
0.025,0,0.27293333333333336,0.4444444444444444
0.025,0,0.3099058823529412,0.5555555555555556
0.025,0,0.33709803921568626,0.6666666666666666
0.025,0,0.34830588235294113,0.7777777777777777
0.025,0,0.36572549019607836,0.8888888888888888
0.025,0,0.36771764705882365,1.0
0.025,0.5,0.0,0.0
0.025,0.5,0.0,0.1111111111111111
0.025,0.5,0.07580392156862745,0.2222222222222222
0.025,0.5,0.18275294117647056,0.3333333333333333
0.025,0.5,0.2652235294117647,0.4444444444444444
0.025,0.5,0.31072941176470587,0.5555555555555556
0.025,0.5,0.32683137254901956,0.6666666666666666
0.025,0.5,0.36337254901960786,0.7777777777777777
0.025,0.5,0.3614745098039216,0.8888888888888888
0.025,0.5,0.3645411764705882,1.0
0.025,1,0.0,0.0
0.025,1,0.0,0.1111111111111111
0.025,1,0.07416470588235294,0.2222222222222222
0.025,1,0.18583529411764704,0.3333333333333333
0.025,1,0.2717176470588235,0.4444444444444444
0.025,1,0.31502745098039214,0.5555555555555556
0.025,1,0.33071372549019606,0.6666666666666666
0.025,1,0.3503294117647059,0.7777777777777777
0.025,1,0.36137254901960786,0.8888888888888888
0.025,1,0.3692705882352941,1.0
0.5,0,0.0,0.0
0.5,0,0.0,0.1111111111111111
0.5,0,0.0,0.2222222222222222
0.5,0,0.0,0.3333333333333333
0.5,0,0.0,0.4444444444444444
0.5,0,0.0,0.5555555555555556
0.5,0,0.0,0.6666666666666666
0.5,0,0.14909019607843138,0.7777777777777777
0.5,0,0.28889411764705875,0.8888888888888888
0.5,0,0.3735450980392157,1.0
0.5,0.5,0.0,0.0
0.5,0.5,0.0,0.1111111111111111
0.5,0.5,0.0,0.2222222222222222
0.5,0.5,0.0,0.3333333333333333
0.5,0.5,0.0,0.4444444444444444
0.5,0.5,0.0,0.5555555555555556
0.5,0.5,0.0,0.6666666666666666
0.5,0.5,0.156878431372549,0.7777777777777777
0.5,0.5,0.25933333333333336,0.8888888888888888
0.5,0.5,0.38575686274509813,1.0
0.5,1,0.0,0.0
0.5,1,0.0,0.1111111111111111
0.5,1,0.0,0.2222222222222222
0.5,1,0.0,0.3333333333333333
0.5,1,0.0,0.4444444444444444
0.5,1,0.0,0.5555555555555556
0.5,1,0.0,0.6666666666666666
0.5,1,0.1263843137254902,0.7777777777777777
0.5,1,0.27087058823529414,0.8888888888888888
0.5,1,0.3729254901960784,1.0
