delta,sigma/pext,simulation,generation,rho,alpha
0,0,1,0,1,0.0
0,0,1,1,0.7108,0.0
0,0,1,2,0.5856,0.0
0,0,1,3,0.526,0.0
0,0,1,4,0.4716,0.0
0,0,1,5,0.424,0.0
0,0,1,6,0.3904,0.0
0,0,1,7,0.3684,0.0
0,0,1,8,0.3504,0.0
0,0,1,9,0.3444,0.0
0,0,1,10,0.3284,0.0
0,0,1,11,0.3208,0.0
0,0,1,12,0.3068,0.0
0,0,1,13,0.31,0.0
0,0,1,14,0.306,0.0
0,0,1,15,0.3136,0.0
0,0,1,16,0.3164,0.0
0,0,1,17,0.2976,0.0
0,0,1,18,0.294,0.0
0,0,1,19,0.2812,0.0
0,0,1,20,0.2844,0.0
0,0,1,21,0.282,0.0
0,0,1,22,0.288,0.0
0,0,1,23,0.276,0.0
0,0,1,24,0.2748,0.0
0,0,1,25,0.2732,0.0
0,0,1,26,0.2664,0.0
0,0,1,27,0.2612,0.0
0,0,1,28,0.2648,0.0
0,0,1,29,0.2688,0.0
0,0,1,30,0.2664,0.0
0,0,1,31,0.2724,0.0
0,0,1,32,0.2652,0.0
0,0,1,33,0.2604,0.0
0,0,1,34,0.2692,0.0
0,0,1,35,0.2808,0.0
0,0,1,36,0.2884,0.0
0,0,1,37,0.2776,0.0
0,0,1,38,0.2808,0.0
0,0,1,39,0.2664,0.0
0,0,1,40,0.2544,0.0
0,0,1,41,0.2552,0.0
0,0,1,42,0.2428,0.0
0,0,1,43,0.2512,0.0
0,0,1,44,0.2552,0.0
0,0,1,45,0.2652,0.0
0,0,1,46,0.2648,0.0
0,0,1,47,0.2568,0.0
0,0,1,48,0.2576,0.0
0,0,1,49,0.2568,0.0
0,0,1,50,0.262,0.0
0,0,1,51,0.258,0.0
0,0,1,52,0.2624,0.0
0,0,1,53,0.2544,0.0
0,0,1,54,0.256,0.0
0,0,1,55,0.2636,0.0
0,0,1,56,0.2676,0.0
0,0,1,57,0.2548,0.0
0,0,1,58,0.2556,0.0
0,0,1,59,0.252,0.0
0,0,1,60,0.2624,0.0
0,0,1,61,0.2624,0.0
0,0,1,62,0.2504,0.0
0,0,1,63,0.2488,0.0
0,0,1,64,0.2472,0.0
0,0,1,65,0.2504,0.0
0,0,1,66,0.2576,0.0
0,0,1,67,0.2608,0.0
0,0,1,68,0.2544,0.0
0,0,1,69,0.2608,0.0
0,0,1,70,0.2616,0.0
0,0,1,71,0.2624,0.0
0,0,1,72,0.2644,0.0
0,0,1,73,0.2592,0.0
0,0,1,74,0.2556,0.0
0,0,1,75,0.264,0.0
0,0,1,76,0.2468,0.0
0,0,1,77,0.2432,0.0
0,0,1,78,0.242,0.0
0,0,1,79,0.242,0.0
0,0,1,80,0.244,0.0
0,0,1,81,0.2604,0.0
0,0,1,82,0.2548,0.0
0,0,1,83,0.2536,0.0
0,0,1,84,0.2568,0.0
0,0,1,85,0.254,0.0
0,0,1,86,0.2512,0.0
0,0,1,87,0.2468,0.0
0,0,1,88,0.242,0.0
0,0,1,89,0.2572,0.0
0,0,1,90,0.2568,0.0
0,0,1,91,0.2564,0.0
0,0,1,92,0.2528,0.0
0,0,1,93,0.2476,0.0
0,0,1,94,0.2492,0.0
0,0,1,95,0.2392,0.0
0,0,1,96,0.2436,0.0
0,0,1,97,0.2508,0.0
0,0,1,98,0.2612,0.0
0,0,1,99,0.262,0.0
0,0,1,100,0.2552,0.0
0,0,1,0,1,0.1111111111111111
0,0,1,1,0.7284,0.1111111111111111
0,0,1,2,0.5932,0.1111111111111111
0,0,1,3,0.5228,0.1111111111111111
0,0,1,4,0.4892,0.1111111111111111
0,0,1,5,0.4424,0.1111111111111111
0,0,1,6,0.4072,0.1111111111111111
0,0,1,7,0.4088,0.1111111111111111
0,0,1,8,0.3724,0.1111111111111111
0,0,1,9,0.3548,0.1111111111111111
0,0,1,10,0.3504,0.1111111111111111
0,0,1,11,0.348,0.1111111111111111
0,0,1,12,0.3468,0.1111111111111111
0,0,1,13,0.3448,0.1111111111111111
0,0,1,14,0.3472,0.1111111111111111
0,0,1,15,0.344,0.1111111111111111
0,0,1,16,0.3484,0.1111111111111111
0,0,1,17,0.3352,0.1111111111111111
0,0,1,18,0.3232,0.1111111111111111
0,0,1,19,0.322,0.1111111111111111
0,0,1,20,0.324,0.1111111111111111
0,0,1,21,0.3136,0.1111111111111111
0,0,1,22,0.3028,0.1111111111111111
0,0,1,23,0.2836,0.1111111111111111
0,0,1,24,0.2864,0.1111111111111111
0,0,1,25,0.2976,0.1111111111111111
0,0,1,26,0.2948,0.1111111111111111
0,0,1,27,0.2984,0.1111111111111111
0,0,1,28,0.3036,0.1111111111111111
0,0,1,29,0.3096,0.1111111111111111
0,0,1,30,0.3172,0.1111111111111111
0,0,1,31,0.3208,0.1111111111111111
0,0,1,32,0.3284,0.1111111111111111
0,0,1,33,0.3184,0.1111111111111111
0,0,1,34,0.314,0.1111111111111111
0,0,1,35,0.3184,0.1111111111111111
0,0,1,36,0.3228,0.1111111111111111
0,0,1,37,0.3212,0.1111111111111111
0,0,1,38,0.3132,0.1111111111111111
0,0,1,39,0.3232,0.1111111111111111
0,0,1,40,0.3128,0.1111111111111111
0,0,1,41,0.32,0.1111111111111111
