simulation,generation,rho,alpha
1,0,1,0.0
1,1,0.703125,0.0
1,2,0.59375,0.0
1,3,0.421875,0.0
1,4,0.359375,0.0
1,5,0.21875,0.0
1,6,0.21875,0.0
1,7,0.15625,0.0
1,8,0.09375,0.0
1,9,0.078125,0.0
1,10,0.046875,0.0
1,11,0.046875,0.0
1,12,0.0625,0.0
1,13,0.03125,0.0
1,14,0.015625,0.0
1,15,0.0,0.0
2,0,1,0.0
2,1,0.71875,0.0
2,2,0.484375,0.0
2,3,0.234375,0.0
2,4,0.1875,0.0
2,5,0.140625,0.0
2,6,0.125,0.0
2,7,0.109375,0.0
2,8,0.0625,0.0
2,9,0.046875,0.0
2,10,0.03125,0.0
2,11,0.0,0.0
3,0,1,0.0
3,1,0.671875,0.0
3,2,0.671875,0.0
3,3,0.625,0.0
3,4,0.453125,0.0
3,5,0.296875,0.0
3,6,0.203125,0.0
3,7,0.171875,0.0
3,8,0.125,0.0
3,9,0.09375,0.0
3,10,0.0625,0.0
3,11,0.03125,0.0
3,12,0.015625,0.0
3,13,0.0,0.0
4,0,1,0.0
4,1,0.6875,0.0
4,2,0.484375,0.0
4,3,0.453125,0.0
4,4,0.328125,0.0
4,5,0.296875,0.0
4,6,0.15625,0.0
4,7,0.09375,0.0
4,8,0.078125,0.0
4,9,0.0625,0.0
4,10,0.046875,0.0
4,11,0.015625,0.0
4,12,0.015625,0.0
4,13,0.0,0.0
5,0,1,0.0
5,1,0.703125,0.0
5,2,0.5625,0.0
5,3,0.46875,0.0
5,4,0.375,0.0
5,5,0.3125,0.0
5,6,0.328125,0.0
5,7,0.21875,0.0
5,8,0.21875,0.0
5,9,0.171875,0.0
5,10,0.109375,0.0
5,11,0.046875,0.0
5,12,0.015625,0.0
5,13,0.0,0.0
6,0,1,0.0
6,1,0.625,0.0
6,2,0.53125,0.0
6,3,0.421875,0.0
6,4,0.28125,0.0
6,5,0.203125,0.0
6,6,0.203125,0.0
6,7,0.171875,0.0
6,8,0.171875,0.0
6,9,0.125,0.0
6,10,0.03125,0.0
6,11,0.015625,0.0
6,12,0.0,0.0
7,0,1,0.0
7,1,0.609375,0.0
7,2,0.375,0.0
7,3,0.265625,0.0
7,4,0.171875,0.0
7,5,0.15625,0.0
7,6,0.09375,0.0
7,7,0.09375,0.0
7,8,0.078125,0.0
7,9,0.078125,0.0
7,10,0.109375,0.0
7,11,0.109375,0.0
7,12,0.0625,0.0
7,13,0.046875,0.0
7,14,0.015625,0.0
7,15,0.0,0.0
8,0,1,0.0
8,1,0.6875,0.0
8,2,0.515625,0.0
8,3,0.359375,0.0
8,4,0.265625,0.0
8,5,0.203125,0.0
8,6,0.203125,0.0
8,7,0.171875,0.0
8,8,0.1875,0.0
8,9,0.125,0.0
8,10,0.15625,0.0
8,11,0.078125,0.0
8,12,0.0625,0.0
8,13,0.015625,0.0
8,14,0.015625,0.0
8,15,0.0,0.0
9,0,1,0.0
9,1,0.734375,0.0
9,2,0.578125,0.0
9,3,0.4375,0.0
9,4,0.40625,0.0
9,5,0.265625,0.0
9,6,0.21875,0.0
9,7,0.15625,0.0
9,8,0.03125,0.0
9,9,0.03125,0.0
9,10,0.015625,0.0
9,11,0.03125,0.0
9,12,0.015625,0.0
9,13,0.015625,0.0
9,14,0.0,0.0
10,0,1,0.0
10,1,0.6875,0.0
10,2,0.59375,0.0
10,3,0.390625,0.0
10,4,0.28125,0.0
10,5,0.171875,0.0
10,6,0.203125,0.0
10,7,0.109375,0.0
10,8,0.0625,0.0
10,9,0.03125,0.0
10,10,0.015625,0.0
10,11,0.0,0.0
1,0,1,0.1111111111111111
1,1,0.71875,0.1111111111111111
1,2,0.65625,0.1111111111111111
1,3,0.46875,0.1111111111111111
1,4,0.453125,0.1111111111111111
1,5,0.390625,0.1111111111111111
1,6,0.34375,0.1111111111111111
1,7,0.265625,0.1111111111111111
1,8,0.234375,0.1111111111111111
1,9,0.125,0.1111111111111111
1,10,0.109375,0.1111111111111111
1,11,0.109375,0.1111111111111111
1,12,0.109375,0.1111111111111111
1,13,0.125,0.1111111111111111
1,14,0.125,0.1111111111111111
1,15,0.109375,0.1111111111111111
1,16,0.15625,0.1111111111111111
1,17,0.15625,0.1111111111111111
1,18,0.15625,0.1111111111111111
1,19,0.234375,0.1111111111111111
1,20,0.234375,0.1111111111111111
1,21,0.21875,0.1111111111111111
1,22,0.171875,0.1111111111111111
1,23,0.234375,0.1111111111111111
1,24,0.21875,0.1111111111111111
1,25,0.1875,0.1111111111111111
1,26,0.1875,0.1111111111111111
1,27,0.203125,0.1111111111111111
1,28,0.203125,0.1111111111111111
1,29,0.1875,0.1111111111111111
1,30,0.109375,0.1111111111111111
1,31,0.109375,0.1111111111111111
1,32,0.125,0.1111111111111111
1,33,0.078125,0.1111111111111111
1,34,0.078125,0.1111111111111111
1,35,0.015625,0.1111111111111111
