simulation,generation,rho,L
1,0,1,2
1,1,0.5,2
1,2,0.25,2
1,3,0.5,2
1,4,0.25,2
1,5,0.25,2
1,6,0.0,2
2,0,1,2
2,1,0.75,2
2,2,0.75,2
2,3,0.5,2
2,4,0.25,2
2,5,0.5,2
2,6,0.5,2
2,7,0.25,2
2,8,0.0,2
3,0,1,2
3,1,0.75,2
3,2,0.5,2
3,3,0.25,2
3,4,0.0,2
4,0,1,2
4,1,1.0,2
4,2,1.0,2
4,3,1.0,2
4,4,1.0,2
4,5,0.5,2
4,6,0.5,2
4,7,0.5,2
4,8,0.5,2
4,9,0.5,2
4,10,0.25,2
4,11,0.25,2
4,12,0.0,2
5,0,1,2
5,1,0.5,2
5,2,0.5,2
5,3,0.0,2
6,0,1,2
6,1,0.75,2
6,2,0.5,2
6,3,0.5,2
6,4,0.25,2
6,5,0.0,2
7,0,1,2
7,1,0.25,2
7,2,0.25,2
7,3,0.25,2
7,4,0.75,2
7,5,0.75,2
7,6,1.0,2
7,7,0.5,2
7,8,0.0,2
8,0,1,2
8,1,1.0,2
8,2,0.5,2
8,3,0.5,2
8,4,0.25,2
8,5,0.5,2
8,6,0.75,2
8,7,0.75,2
8,8,0.25,2
8,9,0.25,2
8,10,0.0,2
9,0,1,2
9,1,0.75,2
9,2,0.75,2
9,3,0.75,2
9,4,0.75,2
9,5,0.25,2
9,6,0.5,2
9,7,0.0,2
10,0,1,2
10,1,0.5,2
10,2,0.25,2
10,3,0.25,2
10,4,0.25,2
10,5,0.25,2
10,6,0.25,2
10,7,0.0,2
11,0,1,2
11,1,0.75,2
11,2,0.75,2
11,3,0.75,2
11,4,1.0,2
11,5,0.75,2
11,6,0.5,2
11,7,0.0,2
12,0,1,2
12,1,0.5,2
12,2,0.5,2
12,3,0.0,2
13,0,1,2
13,1,0.5,2
13,2,0.75,2
13,3,0.5,2
13,4,0.75,2
13,5,0.5,2
13,6,0.25,2
13,7,0.5,2
13,8,0.25,2
13,9,0.0,2
14,0,1,2
14,1,1.0,2
14,2,0.5,2
14,3,0.75,2
14,4,0.25,2
14,5,0.5,2
14,6,0.5,2
14,7,0.25,2
14,8,0.0,2
15,0,1,2
15,1,0.5,2
15,2,0.5,2
15,3,0.5,2
15,4,1.0,2
15,5,0.75,2
15,6,0.5,2
15,7,0.5,2
15,8,0.0,2
16,0,1,2
16,1,1.0,2
16,2,0.75,2
16,3,0.75,2
16,4,0.5,2
16,5,0.0,2
17,0,1,2
17,1,0.25,2
17,2,0.25,2
17,3,0.25,2
17,4,0.5,2
17,5,0.5,2
17,6,0.5,2
17,7,0.75,2
17,8,0.25,2
17,9,0.0,2
18,0,1,2
18,1,0.75,2
18,2,0.75,2
18,3,0.5,2
18,4,0.75,2
18,5,0.5,2
18,6,0.5,2
18,7,0.25,2
18,8,0.0,2
19,0,1,2
19,1,1.0,2
19,2,1.0,2
19,3,0.75,2
19,4,0.5,2
19,5,0.5,2
19,6,0.5,2
19,7,0.5,2
19,8,0.0,2
20,0,1,2
20,1,0.5,2
20,2,0.25,2
20,3,0.25,2
20,4,0.5,2
20,5,0.25,2
20,6,0.0,2
1,0,1,10
1,1,0.72,10
1,2,0.56,10
1,3,0.38,10
1,4,0.3,10
1,5,0.19,10
1,6,0.13,10
1,7,0.12,10
1,8,0.1,10
1,9,0.07,10
1,10,0.04,10
1,11,0.02,10
1,12,0.03,10
1,13,0.03,10
1,14,0.01,10
1,15,0.0,10
2,0,1,10
2,1,0.64,10
2,2,0.46,10
2,3,0.38,10
2,4,0.33,10
2,5,0.29,10
2,6,0.15,10
2,7,0.12,10
2,8,0.07,10
2,9,0.08,10
2,10,0.03,10
2,11,0.02,10
2,12,0.01,10
2,13,0.01,10
2,14,0.0,10
3,0,1,10
3,1,0.71,10
3,2,0.55,10
3,3,0.36,10
3,4,0.26,10
3,5,0.25,10
3,6,0.16,10
3,7,0.05,10
3,8,0.05,10
3,9,0.03,10
3,10,0.02,10
3,11,0.02,10
3,12,0.01,10
3,13,0.01,10
3,14,0.01,10
3,15,0.0,10
4,0,1,10
4,1,0.67,10
4,2,0.45,10
4,3,0.38,10
4,4,0.3,10
4,5,0.25,10
4,6,0.18,10
4,7,0.14,10
4,8,0.15,10
4,9,0.13,10
4,10,0.06,10
4,11,0.04,10
4,12,0.02,10
4,13,0.01,10
4,14,0.0,10
5,0,1,10
5,1,0.65,10
5,2,0.45,10
5,3,0.35,10
5,4,0.3,10
5,5,0.16,10
5,6,0.17,10
5,7,0.13,10
5,8,0.1,10
5,9,0.04,10
5,10,0.04,10
5,11,0.02,10
5,12,0.01,10
5,13,0.0,10
6,0,1,10
6,1,0.73,10
6,2,0.57,10
6,3,0.46,10
6,4,0.28,10
6,5,0.27,10
6,6,0.23,10
6,7,0.18,10
6,8,0.13,10
6,9,0.09,10
6,10,0.06,10
6,11,0.05,10
6,12,0.03,10
6,13,0.03,10
6,14,0.0,10
7,0,1,10
7,1,0.62,10
7,2,0.43,10
7,3,0.32,10
7,4,0.22,10
7,5,0.18,10
7,6,0.14,10
7,7,0.07,10
7,8,0.03,10
7,9,0.04,10
7,10,0.0,10
8,0,1,10
8,1,0.72,10
8,2,0.62,10
8,3,0.49,10
8,4,0.41,10
8,5,0.28,10
8,6,0.23,10
8,7,0.16,10
8,8,0.1,10
8,9,0.13,10
8,10,0.09,10
8,11,0.06,10
8,12,0.05,10
8,13,0.04,10
8,14,0.04,10
8,15,0.04,10
8,16,0.02,10
8,17,0.02,10
8,18,0.0,10
9,0,1,10
9,1,0.66,10
9,2,0.6,10
9,3,0.5,10
9,4,0.42,10
9,5,0.34,10
9,6,0.28,10
9,7,0.22,10
9,8,0.14,10
9,9,0.12,10
9,10,0.08,10
9,11,0.13,10
9,12,0.11,10
9,13,0.06,10
9,14,0.02,10
9,15,0.01,10
9,16,0.0,10
10,0,1,10
10,1,0.69,10
10,2,0.48,10
10,3,0.35,10
10,4,0.27,10
10,5,0.22,10
10,6,0.11,10
10,7,0.08,10
10,8,0.05,10
10,9,0.07,10
10,10,0.07,10
10,11,0.09,10
10,12,0.04,10
10,13,0.02,10
10,14,0.04,10
10,15,0.05,10
10,16,0.03,10
10,17,0.03,10
10,18,0.03,10
10,19,0.01,10
10,20,0.01,10
10,21,0.0,10
11,0,1,10
11,1,0.69,10
11,2,0.5,10
11,3,0.42,10
11,4,0.34,10
11,5,0.27,10
11,6,0.22,10
11,7,0.14,10
11,8,0.12,10
11,9,0.11,10
11,10,0.06,10
11,11,0.02,10
11,12,0.02,10
11,13,0.01,10
11,14,0.0,10
12,0,1,10
12,1,0.67,10
12,2,0.47,10
12,3,0.4,10
12,4,0.27,10
12,5,0.2,10
12,6,0.23,10
12,7,0.18,10
12,8,0.13,10
12,9,0.04,10
12,10,0.02,10
12,11,0.01,10
12,12,0.01,10
12,13,0.01,10
12,14,0.01,10
12,15,0.01,10
12,16,0.01,10
12,17,0.01,10
12,18,0.01,10
12,19,0.03,10
12,20,0.01,10
12,21,0.0,10
13,0,1,10
13,1,0.71,10
13,2,0.48,10
13,3,0.37,10
13,4,0.28,10
13,5,0.16,10
13,6,0.13,10
13,7,0.14,10
13,8,0.11,10
13,9,0.1,10
13,10,0.03,10
13,11,0.03,10
