simulation,generation,rho,alpha
1,0,1,0.25
1,1,0.7206,0.25
1,2,0.587,0.25
1,3,0.5052,0.25
1,4,0.4559,0.25
1,5,0.4237,0.25
1,6,0.3932,0.25
1,7,0.3718,0.25
1,8,0.3475,0.25
1,9,0.3392,0.25
1,10,0.3271,0.25
1,11,0.3231,0.25
1,12,0.318,0.25
1,13,0.313,0.25
1,14,0.3052,0.25
1,15,0.3097,0.25
1,16,0.3082,0.25
1,17,0.3029,0.25
1,18,0.3017,0.25
1,19,0.3021,0.25
1,20,0.2992,0.25
1,21,0.2988,0.25
1,22,0.2995,0.25
1,23,0.2965,0.25
1,24,0.2959,0.25
1,25,0.2983,0.25
1,26,0.2992,0.25
1,27,0.293,0.25
1,28,0.2907,0.25
1,29,0.2876,0.25
1,30,0.2882,0.25
1,31,0.2833,0.25
1,32,0.2734,0.25
1,33,0.275,0.25
1,34,0.2703,0.25
1,35,0.2707,0.25
1,36,0.2699,0.25
1,37,0.2712,0.25
1,38,0.2689,0.25
1,39,0.2669,0.25
1,40,0.2706,0.25
1,41,0.2604,0.25
1,42,0.2634,0.25
1,43,0.2652,0.25
1,44,0.2625,0.25
1,45,0.2635,0.25
1,46,0.2603,0.25
1,47,0.2638,0.25
1,48,0.2693,0.25
1,49,0.2696,0.25
1,50,0.2665,0.25
1,51,0.2679,0.25
1,52,0.265,0.25
1,53,0.2636,0.25
1,54,0.2623,0.25
1,55,0.2677,0.25
1,56,0.2605,0.25
1,57,0.2648,0.25
1,58,0.2592,0.25
1,59,0.2615,0.25
1,60,0.2632,0.25
1,61,0.2696,0.25
1,62,0.2674,0.25
1,63,0.2692,0.25
1,64,0.2673,0.25
1,65,0.2671,0.25
1,66,0.2749,0.25
1,67,0.2713,0.25
1,68,0.276,0.25
1,69,0.273,0.25
1,70,0.2742,0.25
1,71,0.2722,0.25
1,72,0.2705,0.25
1,73,0.2789,0.25
1,74,0.2801,0.25
1,75,0.2752,0.25
1,76,0.2704,0.25
1,77,0.2639,0.25
1,78,0.2641,0.25
1,79,0.2643,0.25
1,80,0.2619,0.25
1,81,0.2595,0.25
1,82,0.2525,0.25
1,83,0.256,0.25
1,84,0.2564,0.25
1,85,0.2505,0.25
1,86,0.2496,0.25
1,87,0.246,0.25
1,88,0.2494,0.25
1,89,0.2489,0.25
1,90,0.2519,0.25
1,91,0.2581,0.25
1,92,0.2586,0.25
1,93,0.2549,0.25
1,94,0.2566,0.25
1,95,0.2616,0.25
1,96,0.2561,0.25
1,97,0.2571,0.25
1,98,0.2556,0.25
1,99,0.2569,0.25
1,100,0.2601,0.25
1,0,1,0.25
1,1,0.7215,0.25
1,2,0.5896,0.25
1,3,0.5168,0.25
1,4,0.471,0.25
1,5,0.4363,0.25
1,6,0.4092,0.25
1,7,0.3996,0.25
1,8,0.3789,0.25
