simulation,generation,rho,delta,sigma/pext,alpha
1,0,1,0.25,0,0,0.0
1,1,0.7208,0.25,0,0,0.0
1,2,0.5964,0.25,0,0,0.0
1,3,0.528,0.25,0,0,0.0
1,4,0.4788,0.25,0,0,0.0
1,5,0.4484,0.25,0,0,0.0
1,6,0.4112,0.25,0,0,0.0
1,7,0.3884,0.25,0,0,0.0
1,8,0.3744,0.25,0,0,0.0
1,9,0.3604,0.25,0,0,0.0
1,10,0.354,0.25,0,0,0.0
1,11,0.3348,0.25,0,0,0.0
1,12,0.3196,0.25,0,0,0.0
1,13,0.3188,0.25,0,0,0.0
1,14,0.322,0.25,0,0,0.0
1,15,0.3056,0.25,0,0,0.0
1,16,0.2876,0.25,0,0,0.0
1,17,0.2844,0.25,0,0,0.0
1,18,0.2792,0.25,0,0,0.0
1,19,0.2704,0.25,0,0,0.0
1,20,0.2688,0.25,0,0,0.0
1,21,0.2556,0.25,0,0,0.0
1,22,0.2612,0.25,0,0,0.0
1,23,0.2624,0.25,0,0,0.0
1,24,0.266,0.25,0,0,0.0
1,25,0.2648,0.25,0,0,0.0
1,26,0.282,0.25,0,0,0.0
1,27,0.2692,0.25,0,0,0.0
1,28,0.2632,0.25,0,0,0.0
1,29,0.2676,0.25,0,0,0.0
1,30,0.2652,0.25,0,0,0.0
1,31,0.266,0.25,0,0,0.0
1,32,0.2752,0.25,0,0,0.0
1,33,0.2712,0.25,0,0,0.0
1,34,0.2556,0.25,0,0,0.0
1,35,0.2564,0.25,0,0,0.0
1,36,0.2424,0.25,0,0,0.0
1,37,0.2416,0.25,0,0,0.0
1,38,0.242,0.25,0,0,0.0
1,39,0.2296,0.25,0,0,0.0
1,40,0.2364,0.25,0,0,0.0
1,41,0.2424,0.25,0,0,0.0
1,42,0.2552,0.25,0,0,0.0
1,43,0.2636,0.25,0,0,0.0
1,44,0.2544,0.25,0,0,0.0
1,45,0.2632,0.25,0,0,0.0
1,46,0.2608,0.25,0,0,0.0
1,47,0.258,0.25,0,0,0.0
