simulation,generation,rho,p_int
1,0,1,0.0
1,1,0.0,0.0
1,0,1,0.1111111111111111
1,1,0.4248,0.1111111111111111
1,2,0.2086,0.1111111111111111
1,3,0.1019,0.1111111111111111
1,4,0.0538,0.1111111111111111
1,5,0.0282,0.1111111111111111
1,6,0.0149,0.1111111111111111
1,7,0.0072,0.1111111111111111
1,8,0.004,0.1111111111111111
1,9,0.0023,0.1111111111111111
1,10,0.0013,0.1111111111111111
1,11,0.0004,0.1111111111111111
1,12,0.0002,0.1111111111111111
1,13,0.0001,0.1111111111111111
1,14,0.0001,0.1111111111111111
1,15,0.0001,0.1111111111111111
1,16,0.0002,0.1111111111111111
1,17,0.0003,0.1111111111111111
1,18,0.0003,0.1111111111111111
1,19,0.0001,0.1111111111111111
1,20,0.0001,0.1111111111111111
1,21,0.0,0.1111111111111111
1,0,1,0.2222222222222222
1,1,0.6658,0.2222222222222222
1,2,0.5102,0.2222222222222222
1,3,0.4297,0.2222222222222222
1,4,0.3719,0.2222222222222222
1,5,0.3249,0.2222222222222222
1,6,0.2983,0.2222222222222222
1,7,0.2642,0.2222222222222222
1,8,0.2475,0.2222222222222222
1,9,0.2288,0.2222222222222222
1,10,0.2112,0.2222222222222222
1,11,0.195,0.2222222222222222
1,12,0.185,0.2222222222222222
1,13,0.1785,0.2222222222222222
1,14,0.1703,0.2222222222222222
1,15,0.1652,0.2222222222222222
1,16,0.1481,0.2222222222222222
1,17,0.1421,0.2222222222222222
1,18,0.1396,0.2222222222222222
1,19,0.1256,0.2222222222222222
1,20,0.119,0.2222222222222222
1,21,0.1131,0.2222222222222222
1,22,0.1123,0.2222222222222222
1,23,0.1091,0.2222222222222222
1,24,0.1075,0.2222222222222222
1,25,0.1022,0.2222222222222222
1,26,0.1009,0.2222222222222222
1,27,0.0962,0.2222222222222222
1,28,0.0898,0.2222222222222222
1,29,0.0849,0.2222222222222222
1,30,0.0831,0.2222222222222222
1,31,0.0792,0.2222222222222222
1,32,0.0783,0.2222222222222222
1,33,0.0737,0.2222222222222222
1,34,0.0721,0.2222222222222222
1,35,0.0677,0.2222222222222222
1,36,0.0691,0.2222222222222222
1,37,0.0634,0.2222222222222222
1,38,0.0563,0.2222222222222222
1,39,0.0556,0.2222222222222222
1,40,0.0563,0.2222222222222222
1,41,0.0576,0.2222222222222222
1,42,0.0583,0.2222222222222222
1,43,0.0576,0.2222222222222222
1,44,0.0596,0.2222222222222222
1,45,0.0588,0.2222222222222222
1,46,0.0558,0.2222222222222222
1,47,0.0524,0.2222222222222222
1,48,0.0535,0.2222222222222222
1,49,0.0515,0.2222222222222222
1,50,0.0514,0.2222222222222222
1,51,0.05,0.2222222222222222
1,52,0.0489,0.2222222222222222
1,53,0.0496,0.2222222222222222
1,54,0.0488,0.2222222222222222
1,55,0.0469,0.2222222222222222
1,56,0.0483,0.2222222222222222
1,57,0.0445,0.2222222222222222
1,58,0.0415,0.2222222222222222
1,59,0.0435,0.2222222222222222
1,60,0.0403,0.2222222222222222
1,61,0.0387,0.2222222222222222
1,62,0.0388,0.2222222222222222
1,63,0.0363,0.2222222222222222
1,64,0.0361,0.2222222222222222
1,65,0.0361,0.2222222222222222
1,66,0.0356,0.2222222222222222
1,67,0.0348,0.2222222222222222
1,68,0.0358,0.2222222222222222
1,69,0.0379,0.2222222222222222
1,70,0.0388,0.2222222222222222
1,71,0.0378,0.2222222222222222
1,72,0.035,0.2222222222222222
1,73,0.0338,0.2222222222222222
1,74,0.0331,0.2222222222222222
1,75,0.0337,0.2222222222222222
1,76,0.0357,0.2222222222222222
1,77,0.0344,0.2222222222222222
1,78,0.0354,0.2222222222222222
1,79,0.0339,0.2222222222222222
1,80,0.0341,0.2222222222222222
1,81,0.0338,0.2222222222222222
1,82,0.0316,0.2222222222222222
1,83,0.0282,0.2222222222222222
1,84,0.0295,0.2222222222222222
1,85,0.0301,0.2222222222222222
1,86,0.0285,0.2222222222222222
1,87,0.0294,0.2222222222222222
1,88,0.0262,0.2222222222222222
1,89,0.0269,0.2222222222222222
1,90,0.0248,0.2222222222222222
1,91,0.0225,0.2222222222222222
1,92,0.022,0.2222222222222222
1,93,0.0214,0.2222222222222222
1,94,0.0218,0.2222222222222222
1,95,0.0202,0.2222222222222222
1,96,0.019,0.2222222222222222
1,97,0.0187,0.2222222222222222
1,98,0.0181,0.2222222222222222
1,99,0.0198,0.2222222222222222
1,100,0.0201,0.2222222222222222
1,0,1,0.3333333333333333
1,1,0.8193,0.3333333333333333
1,2,0.7432,0.3333333333333333
1,3,0.7169,0.3333333333333333
1,4,0.6884,0.3333333333333333
1,5,0.6792,0.3333333333333333
1,6,0.6723,0.3333333333333333
1,7,0.6635,0.3333333333333333
1,8,0.6627,0.3333333333333333
1,9,0.6612,0.3333333333333333
1,10,0.6564,0.3333333333333333
1,11,0.6579,0.3333333333333333
1,12,0.6583,0.3333333333333333
1,13,0.6574,0.3333333333333333
1,14,0.6516,0.3333333333333333
1,15,0.6535,0.3333333333333333
1,16,0.661,0.3333333333333333
1,17,0.6563,0.3333333333333333
1,18,0.6591,0.3333333333333333
1,19,0.6558,0.3333333333333333
1,20,0.6594,0.3333333333333333
1,21,0.655,0.3333333333333333
1,22,0.6522,0.3333333333333333
1,23,0.6486,0.3333333333333333
1,24,0.6486,0.3333333333333333
1,25,0.653,0.3333333333333333
1,26,0.6475,0.3333333333333333
1,27,0.6544,0.3333333333333333
1,28,0.6495,0.3333333333333333
1,29,0.6482,0.3333333333333333
1,30,0.6499,0.3333333333333333
1,31,0.6468,0.3333333333333333
1,32,0.6486,0.3333333333333333
1,33,0.6484,0.3333333333333333
1,34,0.6511,0.3333333333333333
1,35,0.6502,0.3333333333333333
1,36,0.6515,0.3333333333333333
1,37,0.6571,0.3333333333333333
1,38,0.6548,0.3333333333333333
1,39,0.6551,0.3333333333333333
1,40,0.6582,0.3333333333333333
1,41,0.6581,0.3333333333333333
1,42,0.6519,0.3333333333333333
1,43,0.6537,0.3333333333333333
1,44,0.6463,0.3333333333333333
1,45,0.6463,0.3333333333333333
1,46,0.6416,0.3333333333333333
1,47,0.6567,0.3333333333333333
1,48,0.6573,0.3333333333333333
1,49,0.6608,0.3333333333333333
1,50,0.6563,0.3333333333333333
1,51,0.6536,0.3333333333333333
1,52,0.6475,0.3333333333333333
1,53,0.6465,0.3333333333333333
1,54,0.6522,0.3333333333333333
1,55,0.6547,0.3333333333333333
1,56,0.6543,0.3333333333333333
1,57,0.6566,0.3333333333333333
1,58,0.6546,0.3333333333333333
1,59,0.656,0.3333333333333333
1,60,0.6558,0.3333333333333333
1,61,0.6587,0.3333333333333333
1,62,0.6578,0.3333333333333333
1,63,0.6616,0.3333333333333333
1,64,0.6637,0.3333333333333333
1,65,0.6622,0.3333333333333333
1,66,0.6499,0.3333333333333333
1,67,0.6528,0.3333333333333333
1,68,0.6523,0.3333333333333333
1,69,0.6483,0.3333333333333333
1,70,0.6529,0.3333333333333333
1,71,0.6608,0.3333333333333333
1,72,0.6638,0.3333333333333333
1,73,0.6634,0.3333333333333333
1,74,0.6593,0.3333333333333333
1,75,0.6595,0.3333333333333333
1,76,0.662,0.3333333333333333
1,77,0.6582,0.3333333333333333
1,78,0.6578,0.3333333333333333
1,79,0.6532,0.3333333333333333
1,80,0.656,0.3333333333333333
1,81,0.66,0.3333333333333333
1,82,0.6635,0.3333333333333333
1,83,0.6556,0.3333333333333333
1,84,0.6569,0.3333333333333333
1,85,0.6529,0.3333333333333333
1,86,0.6512,0.3333333333333333
1,87,0.6458,0.3333333333333333
1,88,0.6498,0.3333333333333333
1,89,0.6484,0.3333333333333333
1,90,0.661,0.3333333333333333
1,91,0.6525,0.3333333333333333
1,92,0.6521,0.3333333333333333
1,93,0.656,0.3333333333333333
1,94,0.6567,0.3333333333333333
